pkoakwood,oakwood_date
1034,1873-03-18
1035,1873-03-23
1036,1873-03-25
1037,1873-03-26
1038,1873-03-26
1039,1873-03-26
1040,1873-03-27
1041,1873-03-29
1042,1873-03-30
1043,1873-03-31
1044,1873-04-02
1045,1873-04-03
1046,1873-04-04
1047,1873-04-04
1048,1873-04-06
1049,1873-04-06
1050,1873-04-07
1051,1873-04-08
1052,1873-04-19
1053,1873-04-09
1054,1873-04-10
1055,1873-04-12
1056,1873-04-14
1057,1873-04-14
1058,1873-04-14
1059,1873-04-15
1060,1873-04-16
1061,1873-04-17
1062,1873-04-18
1063,1873-04-18
1064,1873-04-19
1065,1873-04-20
1066,1873-04-19
1067,1873-04-27
1068,1873-04-30
1069,1873-04-30
1070,1873-04-30
1071,1873-05-01
1072,1873-05-03
1073,1873-05-03
1074,1873-05-06
1075,1873-05-06
1076,1873-05-06
1077,1873-05-07
1078,1873-05-07
1079,1873-05-08
1080,1873-05-15
1081,1873-05-16
1082,1873-05-17
1083,1873-05-19
1084,1873-05-23
1085,1873-05-25
1086,1873-05-25
1087,1873-05-26
1088,1873-05-28
1089,1873-05-29
1090,1873-05-31
1091,1873-06-01
1092,1873-06-02
1093,1873-06-02
1094,1873-06-06
1095,1873-06-06
1096,1873-06-07
1097,1873-06-08
1098,1873-06-10
1099,1873-06-11
1100,1873-06-11
1101,1873-06-11
1102,1873-06-14
1103,1873-06-15
1104,1873-06-19
1105,1873-06-21
1106,1873-06-22
1107,1873-06-28
1108,1873-06-28
1109,1873-06-28
1110,1873-06-29
1111,1873-07-01
1112,1873-07-01
1113,1873-07-01
1114,1873-07-03
1115,1873-07-03
1116,1873-07-05
1117,1873-07-05
1118,1873-07-06
1119,1873-07-07
1120,1873-07-07
1121,1873-07-07
1122,1873-07-09
1123,1873-07-09
1124,1873-07-12
1125,1873-07-14
1126,1873-07-15
1127,1873-07-16
1128,1873-07-20
1129,1873-07-25
1130,1873-07-25
1131,1873-07-26
1132,1873-07-28
1133,1873-07-29
1134,1873-07-29
1135,1873-07-30
1136,1873-08-02
1137,1873-08-04
1138,1873-08-04
1139,1873-08-04
1140,1873-08-04
1141,1873-08-06
1142,1873-08-06
1143,1873-08-08
1144,1873-08-12
1145,1873-08-16
1146,1873-08-18
1147,1873-08-19
1148,1873-08-19
1149,1873-08-19
1150,1873-08-19
1151,1873-08-21
1152,1873-08-22
1153,1873-08-25
1154,1873-08-25
1155,1873-08-26
1156,1873-08-28
1157,1873-08-31
1158,1873-09-01
1159,1873-09-01
1160,1873-09-03
1161,1873-09-03
1162,1873-09-04
1163,1873-09-05
1164,1873-09-11
1165,1873-09-15
1166,1873-09-15
1167,1873-09-17
1168,1873-09-18
1169,1873-09-18
1170,1873-09-18
1171,1873-09-18
1172,1873-09-20
1173,1873-09-21
1174,1873-09-22
1175,1873-09-25
1176,1873-09-27
1177,1873-09-28
1178,1873-10-03
1179,1873-10-04
1180,1873-10-06
1181,1873-10-07
1182,1873-10-10
1183,1873-10-10
1184,1873-10-11
1185,1873-10-11
1186,1873-10-14
1187,1873-10-15
1188,1873-10-16
1189,1873-10-17
1190,1873-10-20
1191,1873-10-23
1192,1873-10-24
1193,1873-10-28
1194,1873-10-29
1195,1873-10-30
1196,1873-10-30
1197,1873-10-30
1198,1873-11-02
1199,1873-11-05
1200,1873-11-06
1201,1873-11-09
1202,1873-11-10
1203,1873-11-16
1204,1873-11-16
1205,1873-11-18
1206,1873-11-21
1207,1873-11-23
1208,1873-11-24
1209,1873-11-28
1210,1873-11-29
1211,1873-11-30
1212,1873-11-30
1213,1873-11-30
1214,1873-12-01
1215,1873-12-02
1216,1873-12-02
1217,1873-12-08
1218,1873-12-10
1219,1873-12-10
1220,1873-12-13
1221,1873-11-13
1222,1873-12-14
1223,1873-12-17
1224,1873-12-18
1225,1873-12-18
1226,1873-12-19
1227,1873-12-21
1228,1873-12-26
1229,1873-12-27
1230,1873-12-21
1231,1873-12-27
1232,1873-12-27
1233,1873-12-29
1234,1873-12-30
1235,1873-12-30
1236,1873-12-31
1237,1873-12-31
1238,1874-01-01
1239,1874-01-06
1240,1874-01-07
1241,1874-01-08
1242,1874-01-08
1243,1874-01-08
1244,1874-01-09
1245,1874-01-09
1246,1874-01-12
1247,1874-01-14
1248,1874-01-17
1249,1874-01-17
