pkoakwood,firstname
1469,G. C.
1470,Gerta A.
1471,Infant of
1472,F.
1473,H. B.
1474,L.
1475,Olga
1476,Guadalupe
1477,E.
1478,Th.
1479,Th.
1480,J. W.
1481,E.
1482,Norman
1483,Infant of John
1484,Dario
1485,Ed Thy
1486,Paul
1487,Frank B.
1488,Infant of E.
1489,A. A.
1490,G.
1491,Emma
1492,Lenorar
1493,J.
1494,J.
1495,B.
1496,E.
1497,Margrethe
1498,L.
1499,Infant of L.
1500,A.
1501,Child of Mr.
1502,J.
1503,C.
1504,J.
1505,E.
1506,Mrs.
1507,Peter
1508,B. H.
1509,Infant of  M.
1510,L. H.
1511,Nellie A. N.
1512,M.
1513,C.
1514,Alice
1515,M. C.
1516,Infant of .
1517,Child of Mrs.
1518,Infant of Nany
1519,N
1520,Mattie
1521,A.
1522,H.
1523,H.
1524,N
1525,W. Isaac
1526,Augusta
1527,Infant of G.
1528,Elizabeth
1529,W. F.
1530,A. G.
1531,A. J.
1532,Remus
1533,Mrs. S. C.
1534,Child of Ed
1535,Isaac
1536,W. I.
1537,Infant of Eugene
1538,F.
1539,Plenty
1540,F.
1541,Infant of
1542,A.
1543,A. W.
1544,Jack
1545,Mrs. Martha
1546,M.
1547,Louis
1548,Dr. A. V.
1549,Infant of J.
1550,E.
1551,Anna Hermine
1552,Margaretha Marie
1553,Ernst Arthur
1554,Polly
1555,Emma
1556,F.
1557,F. A.
1558,Infant of J. C.
1559,A.
1560,H.
1561,M.
1562,W.
1563,M
1564,M
1565,Julie
1566,Sofe
1567,S.
1568,infant
1569,N
1570,A. M.
1571,R.
1572,J. J.
1573,C.
1574,Anna E.
1575,M.
1576,W. J. R.
1577,Sop
1578,D.
1579,A. G.
1580,Wm.
1581,M.
1582,Polinis
1583,Sam.
1584,M.
1585,Fannie
1586,child
1587,L.
1588,J. H.
1589,J.
1590,E. H.
1591,child of T. H.
1592,child of P.
1593,J.
1594,W.
1595,Infant of M.
1596,Infant of Wm. M.
1597,Infant of Mrs. Cate
1598,Ellen
1599,child
1600,Sallie
1601,J.
1602,J.
1603,Sidney
1604,Mr.
1605,Mrs.
1606,Mr.
1607,W. H.
1608,A.
1609,Ida
1610,R.
1611,infant of Cha.
1612,E. Stanley
1613,M. L.
1614,B.
1615,Infant of J.
1616,W.
1617,M.
1618,G.
1619,F.
1620,Jak
1621,L.
1622,F.
1623,L.
1624,F. R.
1625,M.
1626,C. O.
1627,J.
1628,P.
1629,J. H.
1630,F. P.
1631,F.
1632,Morgan
1633,A.
1634,Maria
1635,H. M.
1636,Charles P.
1637,Infant of G. W.
1638,Elle
1639,Mrs.
1640,Gertrude
1641,M. Albert
1642,T. W.
1643,infant of Mrs.
1644,R. P.
1645,Tom
1646,infant of J.
1647,L. J.
1648,J. H.
1649,C.
1650,infant of J. W.
1651,infant of J.
1652,F.
1653,J.
1654,P.
1655,W.
1656,W.
1657,infant of L.
1658,Robert
1659,Isaac
1660,Charles
1661,infant of J.
1662,infant of B.
1663,infant of Cecily
1664,Flora
1665,infant of J. E.
1666,James Madison
1667,son of Mrs.
1668,Whilhelm
1669,Francisca
1670,George
1671,infant of Green
1672,infant of James
1673,infant of James
1674,infant of Lina
1675,Emerich
1676,infant of J. P.
1677,infant of G.
1678,Paul
1679,Margaret
1680,Rosey Ellen
1681,Charles E.
1682,infant of J. B.
1683,Nelo
1684,S. C.
1685,infant of Bruno
1686,George
1687,infant of Bessie
1688,Wm.
1689,infant of Francisco
1690,infant of Thomas
1691,Cecilia
1692,R. H.
1693,infant of Vo.
1694,Mary
1695,infant of
1696,infant of
1697,infant of Francisco
1698,infant of Mrs.
1699,infant of
1700,Lonzo
1701,G. W.
1702,Jas. R.
1703,Jordan
1704,infant of F.
1705,infant of Alice
1706,infant of Mr.
1707,E. P.
1708,infant of Green
1709,Violet
1710,infant of Mr. H.
1711,infant of Rosa
1712,William
1713,A.
1714,infant of James
1715,Mat
1716,infant of Sahra
1717,infant of John Lewis
1718,Mrs. M.
1719,M
1720,Patrick
1721,infant of Mary L.
1722,Mrs.
1723,infant of Tenas
1724,infant of A. Collin
1725,infant of E. A.
1726,A.
1727,A.
1728,Maggie
1729,P. B.
1730,Clara
1731,Georg W.
1732,Joe
1733,Mrs. Thomas
1734,Mrs.
1735,infant of Ron
1736,infant of
1737,Henry
1738,infant of Ernst
1739,Orland F.
1740,Katie O.
1741,Simon
1742,Fanny Elizabeth
1743,N
1744,Lizzie
1745,Elisabeth
1746,infant of Jenney
1747,Winnie
1748,infant of William
1749,Kessuth
1750,infant of
1751,Lizzie
1752,infant of Henry
1753,infant of Willie
1754,Clarisa
1755,Emma
1756,infant of Charles
1757,Maggie
