pkoakwood,yearsmonthsdays
1550,077-00-00
1551,000-07-06
1552,000-04-02
1553,000-01-06
1554,022-00-00
1555,025-00-00
1556,025-00-00
1557,000-03-00
1558,000-00-03
1559,000-09-00
1560,000-06-00
1561,032-00-00
1562,001-02-00
1563,000-00-00
1564,056-00-00
1565,Blank
1566,000-02-00
1567,021-00-00
1568,Blank
1569,Blank
1570,029-00-00
1571,000-04-14
1572,000-00-08
1573,001-01-01
1574,042-00-00
1575,041-00-00
1576,000-04-07
1577,001-00-00
1578,001-03-00
1579,000-03-00
1580,021-00-00
1581,030-00-00
1582,000-00-09
1583,000-00-06
1584,000-07-00
1585,020-00-00
1586,000-05-00
1587,028-00-00
1588,022-00-00
1589,003-00-00
1590,053-03-17
1591,000-00-00
1592,000-00-00
1593,000-00-14
1594,000-05-00
1595,000-00-00
1596,000-00-00
1597,Blank
1598,000-10-00
1599,000-00-03
1600,040-00-00
1601,000-09-00
1602,001-10-00
1603,000-02-07
1604,045-00-00
1605,048-00-00
1606,Blank
1607,025-00-00
1608,000-04-00
1609,002-06-00
1610,045-00-00
1611,000-00-00
1612,034-00-00
1613,003-11-06
1614,001-01-00
1615,000-00-00
1616,045-00-00
1617,070-00-00
1618,028-00-00
1619,022-00-00
1620,001-07-00
1621,000-06-00
1622,034-00-00
1623,000-00-00
1624,001-07-00
1625,020-00-00
1626,000-00-09
1627,001-03-00
1628,000-00-00
1629,021-00-00
1630,022-00-00
1631,040-00-00
1632,032-00-00
1633,001-01-00
1634,035-00-00
1635,001-03-00
1636,002-05-00
1637,000-00-00
1638,020-00-00
1639,074-00-00
1640,019-00-00
1641,025-00-00
1642,020-00-00
1643,000-00-00
1644,000-10-10
1645,025-00-00
1646,000-00-00
1647,001-03-09
1648,001-03-16
1649,001-02-00
1650,000-00-00
1651,000-00-02
1652,002-00-00
1653,055-00-00
1654,030-00-00
1655,065-00-00
1656,044-00-00
1657,000-03-00
1658,034-00-00
1659,027-00-00
1660,089-00-00
1661,000-00-24
1662,001-01-00
1663,000-00-01
1664,017-00-00
1665,000-00-00
1666,044-00-00
1667,Blank
1668,060-00-00
1669,028-00-00
1670,002-00-00
1671,000-00-00
1672,000-09-00
1673,000-00-10
1674,000-09-00
1675,026-00-00
1676,000-08-00
1677,000-00-00
1678,025-00-00
1679,031-00-00
1680,002-00-00
1681,048-00-00
1682,000-04-00
1683,029-00-00
1684,051-00-00
1685,000-13-00
1686,050-00-00
1687,001-03-00
1688,048-00-00
1689,000-01-00
1690,001-06-00
1691,Blank
1692,051-00-00
1693,000-01-00
1694,004-00-00
1695,000-09-00
1696,000-03-00
1697,000-00-03
1698,000-00-00
1699,000-08-00
1700,006-00-00
1701,055-00-00
1702,024-00-00
1703,055-00-00
1704,000-05-00
1705,002-06-00
1706,000-00-00
1707,030-00-00
1708,000-01-14
1709,006-00-00
1710,000-00-01
1711,001-00-00
1712,074-00-00
1713,Blank
1714,000-04-00
1715,026-00-00
1716,000-00-00
1717,001-00-25
1718,040-00-00
1719,049-00-00
1720,050-00-00
1721,002-07-19
1722,049-00-00
1723,001-02-00
1724,000-00-07
1725,000-06-00
1726,080-00-00
1727,001-09-00
1728,014-00-00
1729,084-00-00
1730,014-00-00
1731,019-00-00
1732,036-00-00
1733,019-00-00
1734,018-00-00
1735,000-04-00
1736,000-00-01
1737,061-00-00
